Name,Birthname,Gender,Date of Birth,Place of Birth,Timezone,Data Source,Rodden Rating,Collector,Sun Position,Moon Position,Asc pos,Career 
"A, Dominique",Dominique Ané,M,6 October 1968 at 17:35(= 5:35 PM ),"Provins, France,48n33,  3e18",MET,BC/BR in hand,AA,Geslain,13°29,15°48,24°32, Entertain/Music 
A-Trak,Alain Macklovitch,M,30 March 1982 at 08:00(= 08:00 AM ),"Montréal, Quebec (CAN),45n31,  73w34",EST,Accuracy in question,C,Scholfield,09°30,17°29,03°57, Business 
A. Chal,Alejandro Salazar Pezo,M,30 May 1986 at 21:02(= 9:02 PM ),"Lima, Peru,12s03,  77w03",-05,BC/BR in hand,AA,Scholfield,09°21,15°55,24°34, Entertain/Music 
A. D. G.,Alain Fournier,M,19 December 1947 at 20:00(= 8:00 PM ),"Tours, France,47n23,  0e41",MET,BC/BR in hand,AA,Geslain,27°03,16°28,03°25, Writers 
A. J. Croce,Adrian James Croce,M,28 September 1971 at 08:45(= 08:45 AM ),"Bryn Mawr (Delaware County), Pennsylvania,40n0116,  75w1901",EDT,Bio/autobiography,B,Scholfield,04°44,14°27,25°56, Business 
AJA,Jay Rivera,M,4 January 1994 at 07:30(= 07:30 AM ),"New York, New York,40n43,  74w00",EST,Rectified from approx. time,C,Scholfield,13°56,07°38,15°08, Entertainment 
"ATL, Scotty",Walter Scott Williams,M,15 January 1985 at 08:25(= 08:25 AM ),"Atlanta, Georgia (US),33n45,  84w23",EST,From memory,A,Scholfield,25°21,15°54,06°22, Business 
"Aabel, Andreas",,M,21 February 1911 at 03:00(= 03:00 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,01°20,00°33,02°13, Entertainment 
"Aabel, Per",Per Pavels Aabel,M,25 April 1902 at 07:15(= 07:15 AM ),"Oslo, Norway,59n55,  10e45",MET,BC/BR in hand,AA,Viktor,04°06,01°19,04°39, Entertainment 
"Aadland, Beverly",Beverly Elaine Aadland,F,16 September 1942 at 11:45(= 11:45 AM ),"Los Angeles, California,34n03,  118w15",PWT,From memory,A,Rodden,23°16,11°03,26°37, Entertainment 
"Aadland, Florence",Florence Etta Simpson,F,21 September 1909 at 23:50(= 11:50 PM ),"Salt Lake City, Utah,40n46,  111w53",MST,Accuracy in question,C,Scholfield,28°37,22°55,11°31, Business 
